Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
EML4	1	0	0	1	0.0	0.0	0.2781	0.0
JUN	17	13	4	0	0.3599	0.003	0.3825	0.0
TCF7L2	6	5	1	0	0.2778	0.0003	0.3402	0.0
EZH1	4	4	0	0	0.0	0.0001	0.3429	0.0
RPS6KA4	6	5	1	0	0.2778	0.0001	0.3589	0.0
RXRA	3	2	1	0	0.4444	0.0	0.3149	0.0
SMARCB1	4	4	0	0	0.0	0.0001	0.3223	0.0
TNFRSF14	1	1	0	0	0.0	0.0	0.2916	0.0
EPAS1	7	5	2	0	0.4082	0.0002	0.3452	0.0
FAM175A	4	4	0	0	0.0	0.0002	0.3619	0.0
GREM1	16	8	8	0	0.5	0.0006	0.3712	0.0
MAP2K1	5	5	0	0	0.0	0.0002	0.34	0.0
PNRC1	12	5	7	0	0.4861	0.0031	0.36	0.0
PTP4A1	4	1	3	0	0.375	0.0	0.331	0.0
SMARCE1	1	0	1	0	0.0	0.0	0.2381	0.0
SCG5	11	6	5	0	0.4959	0.0003	0.3681	0.0
STAT5B	4	4	0	0	0.0	0.0	0.365	0.0
EIF4A2	19	9	10	0	0.4986	0.0012	0.3578	0.0
AURKA	8	2	6	0	0.375	0.0004	0.3254	0.0
STK19	8	5	3	0	0.4688	0.0004	0.3474	0.0
HLA-B	5	4	1	0	0.32	0.0001	0.3402	0.0
RUNX1	6	5	1	0	0.2778	0.0006	0.3452	0.0
ERRFI1	1	1	0	0	0.0	0.0	0.2751	0.0
STAT3	2	2	0	0	0.0	0.0	0.3069	0.0
HIST1H1C	5	4	1	0	0.32	0.0	0.3518	0.0
PIK3R3	6	5	1	0	0.2778	0.0007	0.3552	0.0
GSK3B	14	11	3	0	0.3367	0.0004	0.3798	0.0
RAD51B	5	1	4	0	0.32	0.0008	0.3274	0.0
PHOX2B	5	5	0	0	0.0	0.0001	0.352	0.0
MYD88	1	1	0	0	0.0	0.0	0.2968	0.0
POT1	4	4	0	0	0.0	0.0001	0.3393	0.0
ESR1	5	5	0	0	0.0	0.0002	0.3376	0.0
GATA3	16	10	6	0	0.4688	0.0019	0.365	0.0
IFNGR1	1	1	0	0	0.0	0.0	0.305	0.0
PPARG	3	3	0	0	0.0	0.0	0.3315	0.0
SHOC2	4	3	1	0	0.375	0.0002	0.3419	0.0
TRAF2	16	15	1	0	0.1172	0.0014	0.381	0.0
SESN2	6	5	1	0	0.2778	0.0001	0.3549	0.0
MYCL1	6	1	5	0	0.2778	0.0003	0.314	0.0
GAB2	1	0	1	0	0.0	0.0	0.243	0.0
GNAQ	7	4	3	0	0.4898	0.0002	0.3647	0.0
MDM4	7	0	7	0	0.0	0.0	0.3157	0.0
NRAS	5	5	0	0	0.0	0.0002	0.3533	0.0
SLFN11	5	4	1	0	0.32	0.0001	0.3502	0.0
HIST1H3A	1	1	0	0	0.0	0.0	0.311	0.0
HIST1H3D	2	2	0	0	0.0	0.0	0.331	0.0
HIST1H3F	1	1	0	0	0.0	0.0	0.3017	0.0
HIST1H3H	1	1	0	0	0.0	0.0	0.3126	0.0
HIST3H3	5	3	2	0	0.48	0.0	0.321	0.0
SDC4	1	0	0	1	0.0	0.0	0.2724	0.0
SLC34A2	1	0	0	1	0.0	0.0	0.2724	0.0
SH2D1A	1	0	1	0	0.0	0.0	0.2327	0.0
MSI1	1	1	0	0	0.0	0.0	0.3178	0.0
