Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
CIC	8	0.9588628209072331	-1.3707305605706144	1.0	1.0
CREBBP	11	0.9991386372479691	-2.159435850951567	1.0	1.0
CRLF2	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
CSDE1	4	0.5788054248385894	10.0	1.0	1.0
CSF1R	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
CSF3R	4	0.9694491339842056	-1.782780388224287	1.0	1.0
CTCF	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
CTLA4	1	0.8723536737235368	10.0	1.0	1.0
CTNNB1	9	0.9996812110139099	-2.4510167963844105	1.0	1.0
CTR9	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
CUL3	5	0.9973595643586057	-2.4741034401433613	1.0	1.0
CXCR4	1	0.8723536737235368	10.0	1.0	1.0
CYLD	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
CYP19A1	2	0.760931553403708	10.0	1.0	1.0
CYSLTR2	2	0.760931553403708	10.0	1.0	1.0
DAXX	2	1.0	-6.729334318361825	1.0	1.0
DCUN1D1	0	1.0	-10.0	1.0	1.0
DDR2	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
DICER1	8	0.6778430975761889	0.22844579937024265	1.0	1.0
DIS3	4	0.5788054248385894	10.0	1.0	1.0
DNAJB1	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
DNMT1	3	0.918305030251782	-1.1917608026827846	1.0	1.0
DNMT3A	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
DNMT3B	2	0.760931553403708	10.0	1.0	1.0
DOT1L	9	0.9824916093264223	-1.6219668032274874	1.0	1.0
DROSHA	3	0.6636803261918875	10.0	1.0	1.0
DUSP4	2	0.760931553403708	10.0	1.0	1.0
E2F3	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
EED	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
EGFR	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
EIF1AX	1	0.9979466871513736	-3.7858751946471525	1.0	1.0
EIF4A2	1	0.8723536737235368	10.0	1.0	1.0
EIF4E	1	0.8723536737235368	10.0	1.0	1.0
ELF3	16	0.8994095071363296	-0.784618569757622	1.0	1.0
EP300	12	0.7390051974572494	-0.18953246607506008	1.0	1.0
EPAS1	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
EPHA3	12	0.19305725418027933	10.0	1.0	1.0
EPHA5	12	0.8865827891280414	-0.7816194012295977	1.0	1.0
EPHA7	9	0.843814961894652	-0.6076825772212398	1.0	1.0
EPHB1	18	0.7244107578644616	-0.19041145767754328	1.0	1.0
ERBB2	7	0.9039303568048127	-0.9723240066256429	1.0	1.0
ERBB3	10	0.9755296031909316	-1.4689269184759481	1.0	1.0
ERBB4	22	0.39147961790099534	0.6953607943084932	1.0	1.0
ERCC2	2	0.760931553403708	10.0	1.0	1.0
