Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
RAB35	2	0.8112599866927684	-0.6103824932256885	1.0
RAC1	5	0.37908307943135366	0.4920768567087024	1.0
RAC2	4	0.2661636733200333	0.9781181636262748	1.0
RAD21	9	0.8338118229746064	-0.44300565374107914	1.0
RAD50	20	0.04206998958465366	0.8487535742594211	0.7179944889114225
RAD51	4	0.10368695051444475	1.9793094890786849	1.0
RAD51B	4	0.9045622966848358	-0.8352081868277397	1.0
RAD51C	5	0.6728673730784097	-0.16238840836509275	1.0
RAD51D	6	0.6012300726110953	-0.024307333447153728	1.0
RAD52	2	0.9491061330874834	-1.349735667648684	1.0
RAD54L	9	0.5885075998303536	-0.02436741621815497	1.0
RAF1	7	0.9049752954193844	-0.6811990271406084	1.0
RARA	7	0.6524253559870994	-0.124461506124372	1.0
RASA1	16	0.9999974530338319	-1.5683192472050764	1.0
RB1	40	0.9999754467005063	-0.9858384332406966	1.0
RBM10	201	2.2035560804848324e-12	1.0766882974876968	3.760735710694114e-10
RECQL	7	0.6524253559870994	-0.124461506124372	1.0
RECQL4	20	0.6428572694739854	-0.0961899268216372	1.0
REL	7	0.6524253559870994	-0.124461506124372	1.0
REST	2	0.963891188127941	-1.487836704366733	1.0
RET	41	0.21845038831211014	0.25365668615575016	1.0
RFWD2	16	0.8532625749004852	-0.3874969368696506	1.0
RHEB	2	0.8112599866927684	-0.6103824932256885	1.0
RHOA	4	0.4509516121669638	0.39196335288610706	1.0
RICTOR	20	0.8113064736542114	-0.29247205301186946	1.0
RIT1	1	0.9986315813419885	-2.9388597051860956	1.0
RNF43	10	0.9513149168900473	-0.7546730388003727	1.0
ROS1	23	0.9996588373354319	-1.0528207401777576	1.0
RPS6KA4	10	0.9893757197063513	-1.036435137634513	1.0
RPS6KB2	7	0.5351148550416479	0.08318613212581519	1.0
RPTOR	20	0.8113064736542114	-0.29247205301186946	1.0
RRAGC	2	0.9005659023423961	-1.0266132887188746	1.0
