Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
MRE11A	18	0.46208446947131043	0.09735351978098677	1.0	1.0
MSH2	11	0.7176536389335723	-0.21605472624452893	1.0	1.0
MSH3	14	0.7676064343097022	-0.2699583717307904	1.0	1.0
MSH6	9	0.9223882398559603	-0.6732306420431385	1.0	1.0
MSI1	11	0.150467539787369	0.7345842638073419	1.0	1.0
MSI2	2	0.9015026880879251	-1.0319953697247553	1.0	1.0
MST1	3	0.216555655140931	1.5577298612495754	1.0	1.0
MST1R	11	0.8181203077900833	-0.38136475197423136	1.0	1.0
MTAP	0	1.0	-10.0	1.0	1.0
MTOR	38	0.23439666781818583	0.24813829229985576	1.0	1.0
MUTYH	9	0.4241693337019702	0.23506625137155854	1.0	1.0
MYC	5	0.8589253695383583	-0.6176376578609193	1.0	1.0
MYCL	7	0.27537830773400157	0.6107070833990071	1.0	1.0
MYCL1	1	0.7098738503057366	-0.029576579939879832	1.0	1.0
MYCN	14	0.624714998903819	-0.0811256326084035	1.0	1.0
MYD88	4	0.8782256988685657	-0.7330879853838875	1.0	1.0
MYOD1	16	0.7852525355358553	-0.28150796641165815	1.0	1.0
NADK	3	0.6342053980316069	-0.029625169109278336	1.0	1.0
NBN	23	0.10999146928178308	0.5483478644010548	1.0	1.0
NCOA3	17	0.4592663379101585	0.1051125683127525	1.0	1.0
NCOR1	32	0.6328507805236596	-0.07596951361172555	1.0	1.0
NEGR1	13	0.9695698538391494	-0.7659940838173063	1.0	1.0
NF1	68	0.9999956455683304	-0.863875252499023	1.0	1.0
NF2	19	0.34799393174568566	0.22154332765006512	1.0	1.0
NFE2L2	29	0.9922792523203384	-0.7004183209480701	1.0	1.0
NFKBIA	5	0.9310310835669766	-0.8824758085109058	1.0	1.0
NKX2-1	45	2.578183545748484e-07	1.7998891602559275	2.2000499590387065e-05	2.2000499590387065e-05
NKX3-1	4	0.8782256988685657	-0.7330879853838875	1.0	1.0
NOTCH1	40	0.90586022194223	-0.33449522591660213	1.0	1.0
NOTCH2	31	0.9338517514741693	-0.4276680386119108	1.0	1.0
NOTCH3	50	0.5086272985043978	0.014996093893812183	1.0	1.0
