Cluster_ID	Meta_Term	Best_P-value	Aggregated_Terms	All_Genes	N_Terms_Merged
0	regulation of phospholipase C activity (GO:1900274)	2.3216259437103225e-05	regulation of phospholipase C activity (GO:1900274) | positive regulation of phospholipase activity (GO:0010518) | positive regulation of phospholipase C activity (GO:0010863) | positive regulation of MAP kinase activity (GO:0043406) | positive regulation of protein serine/threonine kinase activity (GO:0071902)	FLT1;PIK3CG;ESR1;KIT	5
0	branching morphogenesis of an epithelial tube (GO:0048754)	2.328755258211216e-05	branching morphogenesis of an epithelial tube (GO:0048754) | epithelial tube morphogenesis (GO:0060562) | branching involved in blood vessel morphogenesis (GO:0001569) | protein kinase B signaling (GO:0043491)	MET;KDR;NKX3-1;CTNNB1	4
0	positive regulation of autophagy (GO:0010508)	2.3689808833634712e-05	positive regulation of autophagy (GO:0010508) | negative regulation of protein localization to nucleus (GO:1900181) | negative regulation of cellular protein localization (GO:1903828)	GSK3B;KDR;PIK3CB;FLCN;SESN3	3
0	sympathetic nervous system development (GO:0048485)	2.849581800417708e-05	sympathetic nervous system development (GO:0048485) | positive regulation of neuron death (GO:1901216) | regulation of neuron apoptotic process (GO:0043523) | regulation of neuroblast proliferation (GO:1902692) | positive regulation of hydrolase activity (GO:0051345) | autonomic nervous system development (GO:0048483) | cellular response to growth factor stimulus (GO:0071363) | positive regulation of neuron apoptotic process (GO:0043525) | regulation of vasculature development (GO:1901342) | regulation of GTPase activity (GO:0043087) | axon (GO:0030424) | positive regulation of GTPase activity (GO:0043547)	NTRK1;FYN;INSR;GSK3B;RASA1;KDR;CTNNB1;FLT1;NF1;FLCN	12
0	regulation of MAP kinase activity (GO:0043405)	3.402781830376502e-05	regulation of MAP kinase activity (GO:0043405) | mast cell activation involved in immune response (GO:0002279) | mast cell degranulation (GO:0043303) | mast cell mediated immunity (GO:0002448) | negative regulation of endothelial cell proliferation (GO:0001937)	PIK3CG;KIT;FLT1;PIK3CB;NF1	5
0	Melanogenesis	4.133191969368251e-05	Melanogenesis | melanocyte differentiation (GO:0030318) | protein-containing complex assembly (GO:0065003)	MDM4;GSK3B;KIT;AMER1;CTNNB1;RAF1;MITF	3
0	Salmonella infection	4.484782101128884e-05	Salmonella infection	PIK3C3;JUN;PIK3CG;CTNNB1;PIK3CB;RAF1;BIRC3	1
0	myeloid cell differentiation (GO:0030099)	4.5386287718706e-05	myeloid cell differentiation (GO:0030099) | erythrocyte differentiation (GO:0030218) | megakaryocyte differentiation (GO:0030219) | myeloid cell development (GO:0061515) | lymphocyte differentiation (GO:0030098)	TCF3;GATA1;TET2;KIT;IKZF1	5
0	cellular response to interleukin-7 (GO:0098761)	4.89051120610636e-05	cellular response to interleukin-7 (GO:0098761) | interleukin-7-mediated signaling pathway (GO:0038111) | cellular response to interleukin-21 (GO:0098757) | interleukin-21-mediated signaling pathway (GO:0038114) | cellular response to interleukin-9 (GO:0071355) | interleukin-9-mediated signaling pathway (GO:0038113) | interleukin-35-mediated signaling pathway (GO:0070757) | Toxoplasmosis | cellular response to interleukin-15 (GO:0071350) | interleukin-15-mediated signaling pathway (GO:0035723) | interleukin-27-mediated signaling pathway (GO:0070106) | interleukin-6-mediated signaling pathway (GO:0070102) | Necroptosis | cellular response to interleukin-6 (GO:0071354)	JAK1;PIK3CG;PARP1;IRS2;BIRC3;STAT3	14
0	negative regulation of cellular process (GO:0048523)	5.42467252746491e-05	negative regulation of cellular process (GO:0048523)	NTRK1;PBRM1;ERBB4;PPM1D;MDM4;RASA1;NKX3-1;CTNNB1;RAF1;FLCN	1
