Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
1	KEGG	KEGG: Signal transduction	10	0.0033696426922566	13	35.14	37	Hippo signaling pathway | Wnt signaling pathway | PI3K-Akt signaling pathway | Hedgehog signaling pathway | Ras signaling pathway | Phosphatidylinositol signaling system | NF-kappa B signaling pathway | AMPK signaling pathway | FoxO signaling pathway | mTOR signaling pathway	AXIN1;CTNNB1;FLT3;FOXO1;GLI1;IGF2;NF2;PARP1;PLCG2;PTEN;RPTOR;SMO;SOX17
1	KEGG	KEGG: Cancer: specific types	9	5.111408294869728e-07	15	40.54	37	Colorectal cancer | Hepatocellular carcinoma | Endometrial cancer | Basal cell carcinoma | Breast cancer | Gastric cancer | Prostate cancer | Acute myeloid leukemia | Glioma	AXIN1;CTNNB1;FLT3;FOXO1;GLI1;IGF2;MLH1;MSH2;MSH3;NOTCH3;PLCG2;PTEN;RUNX1;SMO;TERT
1	KEGG	KEGG: Cancer: overview	5	1.0323913760513556e-14	17	45.95	37	Pathways in cancer | Proteoglycans in cancer | MicroRNAs in cancer | Transcriptional misregulation in cancer | Central carbon metabolism in cancer	AXIN1;CTNNB1;DROSHA;FLT3;FOXO1;GLI1;IGF2;MLH1;MSH2;MSH3;NOTCH3;PLCG2;PTEN;RPTOR;RUNX1;SMO;TERT
1	KEGG	KEGG: Replication and repair	3	1.006143288287396e-05	7	18.92	37	Mismatch repair | Base excision repair | Homologous recombination	BARD1;MLH1;MSH2;MSH3;NBN;PARP1;POLE
1	KEGG	KEGG: Immune system	3	0.0125560355362712	5	13.51	37	Th1 and Th2 cell differentiation | Th17 cell differentiation | Leukocyte transendothelial migration	CTNNB1;GATA3;NOTCH3;PLCG2;RUNX1
1	Reactome	Reactome: Rna polymerase ii transcription	1	4.414285505421919e-12	18	48.65	37	RNA Polymerase II Transcription	AXIN1;BARD1;CTNNB1;FOXO1;GATA3;KLF4;MGA;MLH1;MSH2;NBN;NOTCH3;PARP1;PPM1D;PRDM1;PTEN;RPTOR;RUNX1;U2AF1
1	Reactome	Reactome: Gene expression (transcription)	1	6.674592551883697e-12	19	51.35	37	Gene Expression (Transcription)	AXIN1;BARD1;CTNNB1;DROSHA;FOXO1;GATA3;KLF4;MGA;MLH1;MSH2;NBN;NOTCH3;PARP1;PPM1D;PRDM1;PTEN;RPTOR;RUNX1;U2AF1
1	Reactome	Reactome: Generic transcription pathway	1	1.1348734582245091e-11	17	45.95	37	Generic Transcription Pathway	AXIN1;BARD1;CTNNB1;FOXO1;GATA3;KLF4;MGA;MLH1;MSH2;NBN;NOTCH3;PARP1;PPM1D;PRDM1;PTEN;RPTOR;RUNX1
1	Reactome	Reactome: Signal transduction	1	2.527280789240564e-08	19	51.35	37	Signal Transduction	AXIN1;CTNNB1;FLT3;FOXO1;GATA3;GLI1;IGF2;NF2;NOTCH3;PARP1;PLCG2;PRDM1;PTEN;RPTOR;RUNX1;SH2B3;SMO;SOX17;TERT
1	Reactome	Reactome: Diseases of dna repair	1	3.61244481679149e-08	5	13.51	37	Diseases of DNA Repair	BARD1;MLH1;MSH2;MSH3;NBN
2	GO	GO: Biological regulation	7	1.501807818395147e-09	18	54.55	33	regulation of cell population proliferation (GO:0042127) | regulation of cell cycle (GO:0051726) | regulation of programmed cell death (GO:0043067) | regulation of actin filament-based process (GO:0032970) | regulation of cell division (GO:0051302) | regulation of cell adhesion molecule production (GO:0060353) | regulation of immune response (GO:0050776)	ALK;ARID2;BCL6;CTCF;EP300;EPHA5;FGF4;HLA-A;IL7R;INHBA;JAK3;NKX3-1;NOTCH1;PAK1;PHOX2B;PIK3C3;TBX3;TSC1
2	GO	GO: Developmental process	7	0.0009500662817566	8	24.24	33	central nervous system development (GO:0007417) | nervous system development (GO:0007399) | exocrine system development (GO:0035272) | enteric nervous system development (GO:0048484) | ovarian follicle development (GO:0001541) | sympathetic nervous system development (GO:0048485) | autonomic nervous system development (GO:0048483)	CIC;EP300;EPHA7;GRIN2A;INHBA;NKX3-1;PHOX2B;TBX3
2	GO	GO: Regulation of signal transduction	6	7.059327593401302e-05	11	33.33	33	regulation of intracellular signal transduction (GO:1902531) | regulation of receptor signaling pathway via STAT (GO:1904892) | positive regulation of signal transduction (GO:0009967) | regulation of Notch signaling pathway (GO:0008593) | regulation of insulin-like growth factor receptor signaling pathway (GO:0043567) | regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	ARAF;BRIP1;EP300;IL7R;JAK3;LATS2;NKX3-1;NOTCH1;PAK1;RAD50;ROS1
2	GO	GO: Regulation of cell population proliferation	5	1.417191865769952e-07	10	30.3	33	negative regulation of cell population proliferation (GO:0008285) | positive regulation of cell population proliferation (GO:0008284) | regulation of cell proliferation involved in heart morphogenesis (GO:2000136) | regulation of glial cell proliferation (GO:0060251) | regulation of cardiac muscle cell proliferation (GO:0060043)	ARID2;CTCF;FGF4;IL7R;INHBA;NKX3-1;NOTCH1;PAK1;TBX3;TSC1
2	GO	GO: Cell differentiation	5	0.0001859501704052	6	18.18	33	neuron differentiation (GO:0030182) | myeloid cell differentiation (GO:0030099) | foam cell differentiation (GO:0090077) | cell differentiation in hindbrain (GO:0021533) | glial cell differentiation (GO:0010001)	ALK;EP300;EPHA5;INHBA;JAK3;PHOX2B
2	KEGG	KEGG: Cancer: specific types	14	4.921838003487268e-06	10	30.3	33	Renal cell carcinoma | Non-small cell lung cancer | Prostate cancer | Breast cancer | Melanoma | Gastric cancer | Bladder cancer | Hepatocellular carcinoma | Endometrial cancer | Acute myeloid leukemia | Glioma | Chronic myeloid leukemia | Pancreatic cancer | Colorectal cancer	ALK;ARAF;ARID2;BRAF;EP300;FGF4;JAK3;NKX3-1;NOTCH1;PAK1
2	KEGG	KEGG: Signal transduction	12	2.287086671475288e-06	13	39.39	33	FoxO signaling pathway | ErbB signaling pathway | cAMP signaling pathway | MAPK signaling pathway | JAK-STAT signaling pathway | PI3K-Akt signaling pathway | Notch signaling pathway | Rap1 signaling pathway | Ras signaling pathway | TGF-beta signaling pathway | mTOR signaling pathway | Hippo signaling pathway	ARAF;BCL6;BRAF;EP300;FGF4;GRIN2A;IL7R;INHBA;JAK3;LATS2;NOTCH1;PAK1;TSC1
2	KEGG	KEGG: Infectious disease: viral	7	0.0001413108738776	10	30.3	33	Hepatitis B | Human papillomavirus infection | Kaposi sarcoma-associated herpesvirus infection | Epstein-Barr virus infection | Human T-cell leukemia virus 1 infection | Hepatitis C | Human immunodeficiency virus 1 infection	ARAF;BRAF;BTK;EP300;HLA-A;JAK3;NOTCH1;PAK1;PIK3C3;TSC1
2	KEGG	KEGG: Cancer: overview	4	1.3385727304948757e-07	12	36.36	33	Pathways in cancer | Viral carcinogenesis | Proteoglycans in cancer | MicroRNAs in cancer	ALK;ARAF;BRAF;DNMT3B;EP300;FGF4;HLA-A;IL7R;JAK3;NKX3-1;NOTCH1;PAK1
2	KEGG	KEGG: Endocrine system	4	0.0014759635932553	5	15.15	33	Insulin signaling pathway | Progesterone-mediated oocyte maturation | Parathyroid hormone synthesis, secretion and action | Thyroid hormone signaling pathway	ARAF;BRAF;EP300;NOTCH1;TSC1
2	Reactome	Reactome: Signaling by alk	1	1.6117818039508418e-05	3	9.09	33	Signaling by ALK	ALK;EP300;JAK3
2	Reactome	Reactome: Disease	1	1.6126113985205302e-05	13	39.39	33	Disease	ALK;ARAF;BRAF;BRIP1;BTK;DNMT3B;EP300;FGF4;HLA-A;JAK3;NOTCH1;PIK3C3;RAD50
2	Reactome	Reactome: Signaling by receptor tyrosine kinases	1	2.2263004364100552e-05	7	21.21	33	Signaling by Receptor Tyrosine Kinases	ALK;BRAF;EP300;FGF4;JAK3;PAK1;PIK3C3
2	Reactome	Reactome: Transcriptional regulation by tp53	1	2.4717086726372585e-05	6	18.18	33	Transcriptional Regulation by TP53	BCL6;BRIP1;CDK12;EP300;RAD50;TSC1
